Entry_No.,Car_Id,Car_Name,Car_Type_Id,Car_Type,Start_Date,End_Date,City_ID,City_Name
43,4,Kia Telluride,2,SEDAN,04-07-2021,11-11-2021,1,KOLKATA
44,4,Kia Telluride,3,HATCHBACK,17-03-2021,30-07-2021,1,KOLKATA
45,6,Porsche 718,2,SEDAN,18-05-2021,18-08-2021,3,CHENNAI
46,6,Porsche 718,1,SUV,22-05-2021,03-11-2021,1,KOLKATA
47,8,Ram 1500,1,SUV,29-06-2021,16-08-2021,3,CHENNAI
48,1,Chevrolet Corvette,1,SUV,08-04-2021,06-12-2021,3,CHENNAI
49,3,Jeep Gladiator,1,SUV,27-06-2021,15-10-2021,1,KOLKATA
50,8,Ram 1500,2,SEDAN,26-05-2021,21-08-2021,3,CHENNAI
51,1,Chevrolet Corvette,2,SEDAN,05-07-2021,07-12-2021,3,CHENNAI
52,2,Honda Accord,3,HATCHBACK,23-05-2021,20-10-2021,4,DELHI
53,2,Honda Accord,3,HATCHBACK,21-05-2021,13-10-2021,2,MUMBAI
54,6,Porsche 718,2,SEDAN,25-05-2021,28-07-2021,3,CHENNAI
55,8,Ram 1500,2,SEDAN,03-07-2021,16-11-2021,2,MUMBAI
56,5,Mazda CX-5,1,SUV,01-07-2021,09-10-2021,2,MUMBAI
57,8,Ram 1500,2,SEDAN,05-04-2021,14-07-2021,1,KOLKATA
58,4,Kia Telluride,2,SEDAN,06-02-2021,30-09-2021,2,MUMBAI
59,3,Jeep Gladiator,1,SUV,21-04-2021,03-11-2021,1,KOLKATA
60,7,Porsche Macan,2,SEDAN,02-04-2021,07-07-2021,2,MUMBAI
61,2,Honda Accord,1,SUV,24-03-2021,12-11-2021,3,CHENNAI
62,6,Porsche 718,3,HATCHBACK,11-05-2021,16-10-2021,2,MUMBAI
63,6,Porsche 718,1,SUV,14-05-2021,21-11-2021,3,CHENNAI
64,3,Jeep Gladiator,2,SEDAN,04-04-2021,04-07-2021,3,CHENNAI
65,6,Porsche 718,1,SUV,23-06-2021,16-12-2021,3,CHENNAI
66,2,Honda Accord,3,HATCHBACK,06-02-2021,05-07-2021,3,CHENNAI
67,4,Kia Telluride,3,HATCHBACK,18-03-2021,12-10-2021,2,MUMBAI
68,8,Ram 1500,3,HATCHBACK,14-05-2021,31-07-2021,3,CHENNAI
69,5,Mazda CX-5,3,HATCHBACK,25-01-2021,26-09-2021,2,MUMBAI
70,7,Porsche Macan,1,SUV,02-01-2021,03-07-2021,3,CHENNAI
71,8,Ram 1500,1,SUV,21-06-2021,08-07-2021,3,CHENNAI
72,1,Chevrolet Corvette,3,HATCHBACK,02-07-2021,03-11-2021,2,MUMBAI
73,8,Ram 1500,1,SUV,29-05-2021,29-11-2021,3,CHENNAI
74,5,Mazda CX-5,2,SEDAN,02-03-2021,22-10-2021,1,KOLKATA
75,3,Jeep Gladiator,3,HATCHBACK,05-06-2021,02-11-2021,2,MUMBAI
76,7,Porsche Macan,1,SUV,04-02-2021,03-11-2021,1,KOLKATA
77,5,Mazda CX-5,3,HATCHBACK,15-02-2021,06-10-2021,1,KOLKATA
78,7,Porsche Macan,1,SUV,11-01-2021,28-10-2021,2,MUMBAI
79,8,Ram 1500,1,SUV,06-04-2021,07-12-2021,3,CHENNAI
80,4,Kia Telluride,2,SEDAN,23-01-2021,10-07-2021,2,MUMBAI
81,6,Porsche 718,2,SEDAN,24-04-2021,08-11-2021,1,KOLKATA
82,7,Porsche Macan,3,HATCHBACK,09-07-2021,03-12-2021,3,CHENNAI
83,7,Porsche Macan,3,HATCHBACK,25-04-2021,15-09-2021,3,CHENNAI
84,5,Mazda CX-5,2,SEDAN,04-06-2021,29-11-2021,1,KOLKATA
85,6,Porsche 718,2,SEDAN,28-04-2021,27-07-2021,2,MUMBAI
86,1,Chevrolet Corvette,1,SUV,05-07-2021,28-11-2021,3,CHENNAI
87,6,Porsche 718,1,SUV,17-05-2021,12-09-2021,4,DELHI
88,3,Jeep Gladiator,3,HATCHBACK,30-05-2021,08-07-2021,1,KOLKATA
89,6,Porsche 718,2,SEDAN,26-01-2021,15-07-2021,3,CHENNAI
90,2,Honda Accord,2,SEDAN,26-06-2021,18-10-2021,2,MUMBAI
91,3,Jeep Gladiator,3,HATCHBACK,04-03-2021,23-07-2021,3,CHENNAI
92,8,Ram 1500,3,HATCHBACK,16-02-2021,05-12-2021,2,MUMBAI
93,3,Jeep Gladiator,3,HATCHBACK,19-05-2021,08-10-2021,2,MUMBAI
94,1,Chevrolet Corvette,2,SEDAN,21-04-2021,07-10-2021,4,DELHI
95,4,Kia Telluride,1,SUV,22-03-2021,30-09-2021,3,CHENNAI
96,6,Porsche 718,2,SEDAN,08-07-2021,27-08-2021,2,MUMBAI
97,1,Chevrolet Corvette,2,SEDAN,19-01-2021,06-08-2021,1,KOLKATA
98,4,Kia Telluride,1,SUV,02-02-2021,20-08-2021,4,DELHI
99,1,Chevrolet Corvette,2,SEDAN,27-02-2021,28-10-2021,3,CHENNAI
100,3,Jeep Gladiator,1,SUV,24-03-2021,04-07-2021,2,MUMBAI
101,2,Honda Accord,2,SEDAN,04-03-2021,25-07-2021,4,DELHI
102,1,Chevrolet Corvette,3,HATCHBACK,16-03-2021,18-08-2021,2,MUMBAI
103,8,Ram 1500,2,SEDAN,14-04-2021,28-08-2021,1,KOLKATA
104,7,Porsche Macan,1,SUV,03-01-2021,20-11-2021,1,KOLKATA
105,7,Porsche Macan,3,HATCHBACK,24-04-2021,20-10-2021,2,MUMBAI
106,8,Ram 1500,1,SUV,09-04-2021,29-08-2021,3,CHENNAI
107,4,Kia Telluride,1,SUV,05-04-2021,15-12-2021,1,KOLKATA
108,2,Honda Accord,3,HATCHBACK,16-01-2021,13-09-2021,1,KOLKATA
109,7,Porsche Macan,3,HATCHBACK,12-03-2021,26-07-2021,3,CHENNAI
110,7,Porsche Macan,2,SEDAN,28-06-2021,02-12-2021,4,DELHI
111,8,Ram 1500,3,HATCHBACK,26-06-2021,29-11-2021,1,KOLKATA
112,1,Chevrolet Corvette,1,SUV,26-06-2021,08-08-2021,2,MUMBAI
113,1,Chevrolet Corvette,1,SUV,23-04-2021,30-08-2021,4,DELHI
114,8,Ram 1500,3,HATCHBACK,02-07-2021,17-09-2021,1,KOLKATA
115,6,Porsche 718,2,SEDAN,27-03-2021,30-09-2021,2,MUMBAI
116,1,Chevrolet Corvette,1,SUV,10-01-2021,09-08-2021,3,CHENNAI
117,2,Honda Accord,2,SEDAN,30-01-2021,08-07-2021,4,DELHI
118,7,Porsche Macan,3,HATCHBACK,04-01-2021,01-12-2021,2,MUMBAI
119,8,Ram 1500,1,SUV,23-04-2021,01-08-2021,4,DELHI
120,2,Honda Accord,1,SUV,29-05-2021,21-09-2021,4,DELHI
121,1,Chevrolet Corvette,2,SEDAN,04-06-2021,27-11-2021,3,CHENNAI
122,7,Porsche Macan,3,HATCHBACK,23-01-2021,15-07-2021,4,DELHI
123,1,Chevrolet Corvette,3,HATCHBACK,02-06-2021,24-10-2021,2,MUMBAI
124,1,Chevrolet Corvette,3,HATCHBACK,18-07-2021,05-10-2021,1,KOLKATA
125,3,Jeep Gladiator,2,SEDAN,28-02-2021,10-10-2021,4,DELHI
126,3,Jeep Gladiator,2,SEDAN,15-01-2021,13-10-2021,2,MUMBAI
127,4,Kia Telluride,1,SUV,08-07-2021,03-10-2021,4,DELHI
128,2,Honda Accord,1,SUV,31-05-2021,05-08-2021,1,KOLKATA
129,7,Porsche Macan,1,SUV,28-02-2021,04-12-2021,1,KOLKATA
130,5,Mazda CX-5,1,SUV,08-04-2021,06-07-2021,2,MUMBAI
131,6,Porsche 718,1,SUV,20-04-2021,14-11-2021,1,KOLKATA
132,8,Ram 1500,3,HATCHBACK,17-07-2021,05-12-2021,2,MUMBAI
133,4,Kia Telluride,1,SUV,10-07-2021,15-12-2021,2,MUMBAI
134,4,Kia Telluride,3,HATCHBACK,23-01-2021,08-08-2021,2,MUMBAI
135,7,Porsche Macan,2,SEDAN,13-03-2021,01-12-2021,2,MUMBAI
136,6,Porsche 718,2,SEDAN,07-04-2021,03-09-2021,2,MUMBAI
137,6,Porsche 718,3,HATCHBACK,16-03-2021,16-10-2021,3,CHENNAI
138,4,Kia Telluride,2,SEDAN,17-02-2021,16-07-2021,3,CHENNAI
139,4,Kia Telluride,1,SUV,17-07-2021,16-11-2021,1,KOLKATA
140,1,Chevrolet Corvette,2,SEDAN,15-04-2021,28-09-2021,1,KOLKATA
141,4,Kia Telluride,3,HATCHBACK,17-06-2021,19-07-2021,2,MUMBAI
142,8,Ram 1500,1,SUV,21-03-2021,16-12-2021,1,KOLKATA
143,1,Chevrolet Corvette,1,SUV,10-03-2021,10-09-2021,3,CHENNAI
144,8,Ram 1500,2,SEDAN,02-02-2021,21-08-2021,4,DELHI
145,6,Porsche 718,1,SUV,25-03-2021,22-09-2021,4,DELHI
146,8,Ram 1500,1,SUV,03-02-2021,25-11-2021,4,DELHI
147,2,Honda Accord,1,SUV,09-03-2021,14-12-2021,3,CHENNAI
148,6,Porsche 718,2,SEDAN,05-03-2021,15-12-2021,3,CHENNAI
149,5,Mazda CX-5,3,HATCHBACK,13-07-2021,08-12-2021,2,MUMBAI
150,4,Kia Telluride,3,HATCHBACK,20-04-2021,21-07-2021,3,CHENNAI
151,4,Kia Telluride,3,HATCHBACK,19-05-2021,08-09-2021,3,CHENNAI
152,4,Kia Telluride,2,SEDAN,25-05-2021,24-08-2021,2,MUMBAI
153,3,Jeep Gladiator,3,HATCHBACK,24-06-2021,27-09-2021,4,DELHI
154,1,Chevrolet Corvette,2,SEDAN,18-06-2021,25-11-2021,2,MUMBAI
155,3,Jeep Gladiator,2,SEDAN,02-05-2021,03-08-2021,3,CHENNAI
156,6,Porsche 718,1,SUV,11-07-2021,10-12-2021,2,MUMBAI
157,3,Jeep Gladiator,3,HATCHBACK,25-01-2021,08-10-2021,4,DELHI
158,5,Mazda CX-5,2,SEDAN,19-03-2021,01-12-2021,1,KOLKATA
159,1,Chevrolet Corvette,2,SEDAN,18-07-2021,24-10-2021,4,DELHI
160,2,Honda Accord,3,HATCHBACK,07-05-2021,05-12-2021,2,MUMBAI
161,7,Porsche Macan,3,HATCHBACK,11-01-2021,06-08-2021,4,DELHI
162,6,Porsche 718,1,SUV,20-05-2021,12-09-2021,4,DELHI
163,6,Porsche 718,3,HATCHBACK,13-05-2021,29-07-2021,1,KOLKATA
164,5,Mazda CX-5,1,SUV,01-03-2021,08-10-2021,3,CHENNAI
165,7,Porsche Macan,3,HATCHBACK,29-03-2021,19-10-2021,2,MUMBAI
166,6,Porsche 718,1,SUV,29-01-2021,16-12-2021,2,MUMBAI
167,2,Honda Accord,3,HATCHBACK,14-03-2021,24-11-2021,3,CHENNAI
168,4,Kia Telluride,2,SEDAN,03-06-2021,02-10-2021,1,KOLKATA
169,2,Honda Accord,1,SUV,21-03-2021,02-12-2021,1,KOLKATA
170,3,Jeep Gladiator,3,HATCHBACK,11-07-2021,13-08-2021,2,MUMBAI
171,1,Chevrolet Corvette,3,HATCHBACK,30-03-2021,10-10-2021,4,DELHI
172,7,Porsche Macan,1,SUV,14-06-2021,21-09-2021,4,DELHI
173,3,Jeep Gladiator,3,HATCHBACK,12-02-2021,28-09-2021,3,CHENNAI
174,8,Ram 1500,2,SEDAN,01-02-2021,21-09-2021,2,MUMBAI
175,3,Jeep Gladiator,1,SUV,17-05-2021,27-10-2021,2,MUMBAI
176,8,Ram 1500,1,SUV,27-01-2021,01-11-2021,1,KOLKATA
177,3,Jeep Gladiator,2,SEDAN,01-02-2021,29-10-2021,4,DELHI
178,5,Mazda CX-5,3,HATCHBACK,31-03-2021,15-11-2021,2,MUMBAI
179,6,Porsche 718,3,HATCHBACK,19-06-2021,08-11-2021,1,KOLKATA
180,6,Porsche 718,3,HATCHBACK,16-03-2021,20-11-2021,3,CHENNAI
181,4,Kia Telluride,3,HATCHBACK,14-03-2021,07-07-2021,4,DELHI
182,7,Porsche Macan,2,SEDAN,17-03-2021,16-11-2021,2,MUMBAI
183,8,Ram 1500,1,SUV,30-03-2021,01-09-2021,2,MUMBAI
184,4,Kia Telluride,3,HATCHBACK,08-02-2021,08-10-2021,1,KOLKATA
185,6,Porsche 718,1,SUV,13-01-2021,15-07-2021,3,CHENNAI
186,2,Honda Accord,2,SEDAN,18-02-2021,20-10-2021,2,MUMBAI
187,2,Honda Accord,1,SUV,21-01-2021,26-10-2021,2,MUMBAI
188,2,Honda Accord,1,SUV,21-03-2021,28-08-2021,4,DELHI
189,1,Chevrolet Corvette,2,SEDAN,02-02-2021,08-11-2021,2,MUMBAI
190,6,Porsche 718,2,SEDAN,04-05-2021,11-07-2021,2,MUMBAI
191,7,Porsche Macan,2,SEDAN,28-01-2021,21-09-2021,2,MUMBAI
192,8,Ram 1500,1,SUV,29-03-2021,19-07-2021,3,CHENNAI
193,3,Jeep Gladiator,1,SUV,15-02-2021,29-10-2021,4,DELHI
194,2,Honda Accord,2,SEDAN,26-05-2021,11-11-2021,4,DELHI
195,4,Kia Telluride,1,SUV,12-05-2021,03-08-2021,3,CHENNAI
196,5,Mazda CX-5,1,SUV,25-02-2021,15-11-2021,1,KOLKATA
197,4,Kia Telluride,1,SUV,22-06-2021,28-07-2021,4,DELHI
198,8,Ram 1500,1,SUV,11-02-2021,31-07-2021,4,DELHI
199,4,Kia Telluride,3,HATCHBACK,23-04-2021,05-08-2021,1,KOLKATA
200,7,Porsche Macan,1,SUV,28-05-2021,13-09-2021,1,KOLKATA
201,4,Kia Telluride,3,HATCHBACK,18-06-2021,27-09-2021,3,CHENNAI
202,2,Honda Accord,3,HATCHBACK,16-02-2021,04-11-2021,3,CHENNAI
203,8,Ram 1500,3,HATCHBACK,01-06-2021,13-12-2021,1,KOLKATA
204,8,Ram 1500,3,HATCHBACK,04-05-2021,24-08-2021,4,DELHI
205,4,Kia Telluride,1,SUV,09-06-2021,14-11-2021,2,MUMBAI
206,6,Porsche 718,2,SEDAN,02-03-2021,20-08-2021,2,MUMBAI
207,5,Mazda CX-5,2,SEDAN,28-01-2021,05-08-2021,2,MUMBAI
208,5,Mazda CX-5,2,SEDAN,24-02-2021,02-12-2021,4,DELHI
209,8,Ram 1500,2,SEDAN,18-05-2021,09-10-2021,4,DELHI
210,7,Porsche Macan,1,SUV,18-01-2021,02-12-2021,4,DELHI
211,3,Jeep Gladiator,3,HATCHBACK,13-01-2021,29-11-2021,4,DELHI
212,1,Chevrolet Corvette,3,HATCHBACK,02-06-2021,20-07-2021,1,KOLKATA
213,2,Honda Accord,1,SUV,17-07-2021,27-09-2021,4,DELHI
214,1,Chevrolet Corvette,3,HATCHBACK,27-06-2021,11-12-2021,3,CHENNAI
215,4,Kia Telluride,3,HATCHBACK,22-01-2021,21-07-2021,2,MUMBAI
216,5,Mazda CX-5,2,SEDAN,04-01-2021,10-08-2021,1,KOLKATA
217,8,Ram 1500,2,SEDAN,25-01-2021,11-12-2021,4,DELHI
218,5,Mazda CX-5,3,HATCHBACK,23-06-2021,24-09-2021,4,DELHI
219,4,Kia Telluride,1,SUV,04-05-2021,07-12-2021,3,CHENNAI
220,7,Porsche Macan,1,SUV,10-07-2021,31-10-2021,4,DELHI
221,2,Honda Accord,2,SEDAN,06-05-2021,31-08-2021,1,KOLKATA
222,5,Mazda CX-5,3,HATCHBACK,19-05-2021,30-07-2021,3,CHENNAI
223,5,Mazda CX-5,1,SUV,22-01-2021,08-07-2021,1,KOLKATA
224,3,Jeep Gladiator,1,SUV,01-06-2021,04-07-2021,3,CHENNAI
225,4,Kia Telluride,3,HATCHBACK,17-03-2021,07-11-2021,1,KOLKATA
226,8,Ram 1500,1,SUV,24-04-2021,14-07-2021,2,MUMBAI
227,6,Porsche 718,2,SEDAN,18-07-2021,02-07-2021,3,CHENNAI
228,3,Jeep Gladiator,3,HATCHBACK,17-02-2021,18-07-2021,4,DELHI
229,5,Mazda CX-5,2,SEDAN,12-01-2021,10-09-2021,1,KOLKATA
230,5,Mazda CX-5,3,HATCHBACK,14-02-2021,03-07-2021,3,CHENNAI
231,2,Honda Accord,1,SUV,02-03-2021,10-12-2021,1,KOLKATA
232,5,Mazda CX-5,1,SUV,09-05-2021,16-07-2021,3,CHENNAI
233,1,Chevrolet Corvette,1,SUV,21-03-2021,10-10-2021,4,DELHI
234,3,Jeep Gladiator,3,HATCHBACK,03-07-2021,21-11-2021,2,MUMBAI
235,8,Ram 1500,3,HATCHBACK,17-06-2021,21-11-2021,2,MUMBAI
236,3,Jeep Gladiator,3,HATCHBACK,04-04-2021,02-10-2021,4,DELHI
237,6,Porsche 718,1,SUV,03-07-2021,06-07-2021,1,KOLKATA
238,6,Porsche 718,1,SUV,08-06-2021,10-07-2021,3,CHENNAI
239,1,Chevrolet Corvette,2,SEDAN,11-06-2021,18-07-2021,1,KOLKATA
240,2,Honda Accord,1,SUV,04-07-2021,25-10-2021,3,CHENNAI
241,4,Kia Telluride,2,SEDAN,29-03-2021,16-10-2021,3,CHENNAI
242,1,Chevrolet Corvette,3,HATCHBACK,22-04-2021,18-10-2021,2,MUMBAI
243,6,Porsche 718,3,HATCHBACK,12-04-2021,30-07-2021,1,KOLKATA
244,2,Honda Accord,1,SUV,06-03-2021,05-09-2021,3,CHENNAI
245,1,Chevrolet Corvette,3,HATCHBACK,05-03-2021,07-12-2021,4,DELHI
246,1,Chevrolet Corvette,2,SEDAN,25-05-2021,27-07-2021,3,CHENNAI
247,4,Kia Telluride,1,SUV,16-03-2021,17-07-2021,3,CHENNAI
248,5,Mazda CX-5,3,HATCHBACK,07-04-2021,29-08-2021,4,DELHI
249,8,Ram 1500,1,SUV,07-07-2021,07-09-2021,4,DELHI
250,4,Kia Telluride,3,HATCHBACK,16-06-2021,30-07-2021,1,KOLKATA
251,3,Jeep Gladiator,1,SUV,06-01-2021,13-12-2021,2,MUMBAI
252,8,Ram 1500,3,HATCHBACK,09-06-2021,04-08-2021,4,DELHI
253,4,Kia Telluride,1,SUV,05-03-2021,03-12-2021,4,DELHI
254,4,Kia Telluride,1,SUV,13-02-2021,03-11-2021,2,MUMBAI
255,8,Ram 1500,1,SUV,07-05-2021,21-10-2021,3,CHENNAI
256,1,Chevrolet Corvette,3,HATCHBACK,18-06-2021,29-09-2021,2,MUMBAI
257,2,Honda Accord,1,SUV,09-05-2021,26-11-2021,2,MUMBAI
258,7,Porsche Macan,3,HATCHBACK,22-04-2021,26-07-2021,2,MUMBAI
259,1,Chevrolet Corvette,3,HATCHBACK,07-05-2021,07-07-2021,4,DELHI
260,1,Chevrolet Corvette,2,SEDAN,02-05-2021,18-11-2021,3,CHENNAI
261,1,Chevrolet Corvette,1,SUV,01-04-2021,27-07-2021,1,KOLKATA
262,3,Jeep Gladiator,1,SUV,27-03-2021,08-07-2021,3,CHENNAI
263,3,Jeep Gladiator,2,SEDAN,05-03-2021,25-10-2021,2,MUMBAI
264,3,Jeep Gladiator,2,SEDAN,05-02-2021,08-10-2021,2,MUMBAI
265,1,Chevrolet Corvette,3,HATCHBACK,14-01-2021,15-10-2021,4,DELHI
266,1,Chevrolet Corvette,3,HATCHBACK,19-06-2021,09-08-2021,4,DELHI
267,8,Ram 1500,2,SEDAN,20-05-2021,21-10-2021,1,KOLKATA
268,2,Honda Accord,3,HATCHBACK,10-07-2021,06-08-2021,1,KOLKATA
269,1,Chevrolet Corvette,1,SUV,20-06-2021,06-07-2021,2,MUMBAI
270,3,Jeep Gladiator,1,SUV,24-05-2021,14-10-2021,2,MUMBAI
271,3,Jeep Gladiator,2,SEDAN,16-05-2021,31-07-2021,1,KOLKATA
272,5,Mazda CX-5,2,SEDAN,12-02-2021,12-10-2021,4,DELHI
273,4,Kia Telluride,1,SUV,23-06-2021,25-09-2021,2,MUMBAI
274,1,Chevrolet Corvette,3,HATCHBACK,14-05-2021,05-08-2021,2,MUMBAI
275,3,Jeep Gladiator,1,SUV,07-07-2021,09-11-2021,2,MUMBAI
276,8,Ram 1500,3,HATCHBACK,05-07-2021,12-09-2021,3,CHENNAI
277,3,Jeep Gladiator,1,SUV,18-06-2021,21-09-2021,2,MUMBAI
278,4,Kia Telluride,2,SEDAN,26-02-2021,19-10-2021,4,DELHI
279,7,Porsche Macan,2,SEDAN,07-05-2021,04-07-2021,1,KOLKATA
280,6,Porsche 718,1,SUV,01-04-2021,27-10-2021,3,CHENNAI
281,8,Ram 1500,2,SEDAN,11-01-2021,25-09-2021,2,MUMBAI
282,4,Kia Telluride,3,HATCHBACK,13-02-2021,09-11-2021,2,MUMBAI
283,5,Mazda CX-5,3,HATCHBACK,03-03-2021,01-09-2021,2,MUMBAI
284,4,Kia Telluride,3,HATCHBACK,09-04-2021,27-10-2021,2,MUMBAI
285,7,Porsche Macan,3,HATCHBACK,12-04-2021,14-09-2021,2,MUMBAI
286,7,Porsche Macan,1,SUV,28-06-2021,03-08-2021,2,MUMBAI
287,3,Jeep Gladiator,3,HATCHBACK,20-01-2021,25-08-2021,1,KOLKATA
288,4,Kia Telluride,2,SEDAN,27-01-2021,12-07-2021,2,MUMBAI
289,6,Porsche 718,3,HATCHBACK,09-07-2021,27-07-2021,3,CHENNAI
290,5,Mazda CX-5,2,SEDAN,26-05-2021,23-07-2021,4,DELHI
291,8,Ram 1500,1,SUV,03-06-2021,26-08-2021,4,DELHI
292,7,Porsche Macan,3,HATCHBACK,18-01-2021,28-11-2021,2,MUMBAI
293,8,Ram 1500,3,HATCHBACK,03-04-2021,13-07-2021,2,MUMBAI
294,4,Kia Telluride,3,HATCHBACK,16-05-2021,27-09-2021,1,KOLKATA
295,6,Porsche 718,3,HATCHBACK,21-04-2021,31-08-2021,2,MUMBAI
296,7,Porsche Macan,3,HATCHBACK,18-02-2021,12-10-2021,2,MUMBAI
297,5,Mazda CX-5,1,SUV,01-04-2021,28-11-2021,1,KOLKATA
298,4,Kia Telluride,1,SUV,04-07-2021,07-11-2021,2,MUMBAI
299,2,Honda Accord,3,HATCHBACK,28-04-2021,22-08-2021,1,KOLKATA
300,5,Mazda CX-5,2,SEDAN,25-05-2021,02-12-2021,2,MUMBAI
301,3,Jeep Gladiator,2,SEDAN,16-07-2021,04-11-2021,3,CHENNAI
302,1,Chevrolet Corvette,1,SUV,23-04-2021,28-09-2021,1,KOLKATA
303,6,Porsche 718,2,SEDAN,12-05-2021,22-08-2021,4,DELHI
304,4,Kia Telluride,1,SUV,14-01-2021,02-12-2021,1,KOLKATA
305,7,Porsche Macan,3,HATCHBACK,26-05-2021,20-10-2021,4,DELHI
306,3,Jeep Gladiator,1,SUV,09-01-2021,07-07-2021,1,KOLKATA
307,7,Porsche Macan,3,HATCHBACK,08-01-2021,26-08-2021,2,MUMBAI
308,8,Ram 1500,3,HATCHBACK,23-02-2021,03-12-2021,1,KOLKATA
309,4,Kia Telluride,2,SEDAN,20-06-2021,25-07-2021,2,MUMBAI
310,7,Porsche Macan,1,SUV,15-05-2021,09-07-2021,2,MUMBAI
311,3,Jeep Gladiator,2,SEDAN,10-02-2021,14-09-2021,4,DELHI
312,1,Chevrolet Corvette,1,SUV,27-06-2021,21-09-2021,1,KOLKATA
313,7,Porsche Macan,2,SEDAN,02-02-2021,08-10-2021,2,MUMBAI
314,4,Kia Telluride,3,HATCHBACK,03-03-2021,07-09-2021,3,CHENNAI
315,3,Jeep Gladiator,2,SEDAN,09-04-2021,15-12-2021,2,MUMBAI
316,5,Mazda CX-5,2,SEDAN,03-07-2021,29-07-2021,3,CHENNAI
317,5,Mazda CX-5,1,SUV,31-03-2021,21-07-2021,4,DELHI
318,2,Honda Accord,3,HATCHBACK,10-02-2021,26-08-2021,3,CHENNAI
319,2,Honda Accord,2,SEDAN,06-05-2021,18-10-2021,3,CHENNAI
320,4,Kia Telluride,3,HATCHBACK,01-07-2021,01-07-2021,2,MUMBAI
321,5,Mazda CX-5,3,HATCHBACK,04-05-2021,22-09-2021,3,CHENNAI
322,6,Porsche 718,3,HATCHBACK,25-02-2021,24-08-2021,3,CHENNAI
323,8,Ram 1500,2,SEDAN,01-07-2021,31-08-2021,2,MUMBAI
